,Vendor_name,model,MMIN,MMAX,PRP,ERP
97,nas,as/5000-n,2000,8000,50,41
98,nas,as/6130,4000,16000,66,86
99,nas,as/6150,4000,16000,86,95
100,nas,as/6620,2000,16000,74,107
101,nas,as/6630,4000,16000,93,117
102,nas,as/6650,4000,16000,111,119
103,nas,as/7000,4000,16000,143,120
104,nas,as/7000-n,2000,8000,105,48
105,nas,as/8040,8000,16000,214,126
106,nas,as/8050,8000,32000,277,266
107,nas,as/8060,8000,32000,370,270
108,nas,as/9000-dpc,16000,32000,510,426
109,nas,as/9000-n,4000,24000,214,151
110,nas,as/9040,8000,32000,326,267
111,nas,as/9060,16000,32000,510,603
112,ncr,v8535:ii,1000,1000,8,19
113,ncr,v8545:ii,1000,2000,12,21
114,ncr,v8555:ii,1000,4000,17,26
115,ncr,v8565:ii,2000,6000,21,35
116,ncr,v8565:ii-e,2000,8000,24,41
117,ncr,v8575:ii,4000,8000,34,47
118,ncr,v8585:ii,4000,12000,42,62
119,ncr,v8595:ii,4000,16000,46,78
120,ncr,v8635,4000,8000,51,80
121,ncr,v8650,4000,8000,116,80
122,ncr,v8655,8000,16000,100,142
123,ncr,v8665,8000,24000,140,281
124,ncr,v8670,4000,16000,212,190
125,nixdorf,8890/30,1000,2000,25,21
126,nixdorf,8890/50,1000,4000,30,25
127,nixdorf,8890/70,2000,8000,41,67
128,perkin-elmer,3230,1000,16000,50,64
129,prime,50-550-ii,1000,4000,38,29
130,prime,50-750-ii,1000,8000,60,43
131,prime,50-850-ii,2000,8000,109,53
132,siemens,7.536,2000,4000,22,31
133,siemens,7.541,2000,6000,33,41
134,siemens,7.551,2000,8000,58,47
135,siemens,7.561,4000,16000,130,99
136,siemens,7.865-2,4000,12000,75,67
137,siemens,7.870-2,4000,12000,113,81
138,siemens,7.872-2,8000,16000,188,149
139,siemens,7.875-2,8000,24000,173,183
140,siemens,7.880-2,8000,32000,248,275
141,siemens,7.881-2,8000,32000,405,382
142,sperry,1100/61-h1,2000,8000,70,56
143,sperry,1100/81,2000,32000,114,182
144,sperry,1100/82,2000,32000,208,227
145,sperry,1100/83,2000,32000,307,341
146,sperry,1100/84,4000,32000,397,360
147,sperry,1100/93,8000,64000,915,919
148,sperry,1100/94,8000,64000,1150,978
149,sperry,80/8,1000,8000,42,37
150,sperry,90/80-model-3,1000,8000,46,50
151,sratus,32,2000,8000,52,41
152,wang,vs-90,1000,4000,45,25
